title,medium,culture,department,region
Figure: Leopard Head,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Waist Pendant: Two Mudfish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Figure: Bird of Prophecy (Ahianmwen-oro),Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Side-blown Trumpet (Oko),Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Bracelet: Portuguese Heads and Mudfish,"Brass, copper alloy",Edo peoples,The Michael C. Rockefeller Wing,none
Side-blown Trumpet (akohen),Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
