title,medium,culture,department,region
Royal standard,Embroidered and embossed silk with glass beads and sequins; wooden staff sheathed in silver,"India, Rajasthan, probably Mewar",Asian Art,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Armchair,Gilded mountain ash; brass mounts and casters; modern upholstery,none,European Sculpture and Decorative Arts,none
Suit,"wool, silk",British,Costume Institute,none
none,none,none,none,none
Thirteen-patch block quilt with Japanesque backing fabric,Cotton,American,The American Wing,none
"Quilt, Tumbling Blocks with Signatures pattern",Silk,American,The American Wing,New England
Evening cape,"silk, metal",French,Costume Institute,none
"""Egg"" Armchair","Ox-hide, plastic, aluminum",none,Modern and Contemporary Art,none
Irises panel,"Silk embroidered with silk and metallic-wrapped cotton threads, metal sequins, and cut-glass beads",American,The American Wing,Mid-Atlantic
Woman's wedding mantle (lliclla) with interlace and tocapu design,"Tapestry weave, cotton warp and camelid weft",Peruvian,The American Wing,none
Fancy dress costume,"silk, metal",French,Costume Institute,none
Wholecloth quilt,Cotton,American,The American Wing,New England
Purse,"glass, silk",Mexican,Costume Institute,none
